,uid,timestamp,clock,sender,type,item,quantity,status,init_time,acked_time,received_time
89,e383f053-7e54-4e3d-b6b5-05ff75d19948,2026-04-22 04:43:26.451344,"{0: 560, 1: 289, 2: 818, 3: 291, 4: 124, 5: 54}",3,RESTOCK,SALT,20,RECIEVED,,,
90,4d7fac7c-39d8-4b87-815e-0c5223a18882,2026-04-22 04:43:32.219379,"{0: 561, 1: 289, 2: 820, 3: 291, 4: 125, 5: 54}",4,BUY,SALT,3,RECIEVED,1776847412.2193792,,
91,0cf4b189-35b1-4a0d-87aa-98065509751d,2026-04-22 04:43:35.238644,"{0: 562, 1: 289, 2: 820, 3: 291, 4: 126, 5: 54}",4,BUY,SALT,9,RECIEVED,1776847415.2386448,,
92,9df5568e-194a-4f66-ad27-b04f869401d4,2026-04-22 04:43:41.322447,"{0: 563, 1: 290, 2: 822, 3: 292, 4: 127, 5: 54}",4,BUY,SALT,6,RECIEVED,1776847421.322447,,
93,2a375fdd-4407-4e98-81c0-f28b016683c0,2026-04-22 04:43:44.423993,"{0: 564, 1: 290, 2: 822, 3: 292, 4: 128, 5: 54}",4,BUY,BOAR,3,RECIEVED,1776847424.4239938,,
94,ec5d6fa9-14a4-4d7e-9e7e-ddabcbf68206,2026-04-22 04:43:52.435416,"{0: 567, 1: 291, 2: 826, 3: 293, 4: 129, 5: 54}",4,BUY,SALT,2,RECIEVED,1776847432.4354162,,
95,4304584a-d70a-454e-bbe2-e03c0867ac07,2026-04-22 04:43:53.508964,"{0: 568, 1: 291, 2: 826, 3: 293, 4: 130, 5: 54}",4,BUY,FISH,7,RECIEVED,1776847433.5089643,,
96,f651b621-6c29-4814-af8b-33c1915b2116,2026-04-22 04:43:59.582482,"{0: 569, 1: 292, 2: 827, 3: 294, 4: 131, 5: 54}",4,BUY,SALT,8,RECIEVED,1776847439.5824826,,
97,d1596135-20d4-4c6f-b2e3-120dad20ab22,2026-04-22 04:44:01.614010,"{0: 569, 1: 292, 2: 827, 3: 294, 4: 132, 5: 54}",4,BUY,FISH,7,RECIEVED,1776847441.61401,,
98,525c49ea-3119-4e22-8525-03d68224b6a2,2026-04-22 04:44:27.526098,"{0: 569, 1: 292, 2: 828, 3: 294, 4: 132, 5: 54}",2,RESTOCK,BOAR,20,RECIEVED,,,
99,228030a4-5cad-4e24-bde1-109754dadbbb,2026-04-22 04:44:27.528195,"{0: 569, 1: 292, 2: 829, 3: 294, 4: 132, 5: 54}",2,BUY,BOAR,2,RECIEVED,,,
100,2eaeadf7-3940-4905-9095-564430a5573d,2026-04-22 04:44:27.530239,"{0: 561, 1: 289, 2: 819, 3: 291, 4: 124, 5: 54}",2,BUY,SALT,9,RECIEVED,,,
101,5035081b-3b6b-4ae2-93b5-51f860acaf8a,2026-04-22 04:44:27.532327,"{0: 561, 1: 289, 2: 820, 3: 291, 4: 124, 5: 54}",2,RESTOCK,SALT,20,RECIEVED,,,
102,09052bbf-6dd0-4178-b4cc-d31b4018724e,2026-04-22 04:44:27.533383,"{0: 563, 1: 290, 2: 821, 3: 291, 4: 126, 5: 54}",2,BUY,BOAR,1,RECIEVED,,,
103,34ad32cb-c539-4f99-8e71-8d56948cfb89,2026-04-22 04:44:27.535409,"{0: 563, 1: 290, 2: 822, 3: 292, 4: 126, 5: 54}",2,RESTOCK,SALT,20,RECIEVED,,,
104,a2087386-3588-4847-9ddf-a5eb6a7f551b,2026-04-22 04:44:27.537410,"{0: 565, 1: 290, 2: 823, 3: 292, 4: 128, 5: 54}",2,BUY,FISH,7,RECIEVED,,,
105,90464205-9e68-45ab-9a05-a63d049ce40a,2026-04-22 04:44:27.540570,"{0: 565, 1: 291, 2: 824, 3: 292, 4: 128, 5: 54}",2,BUY,BOAR,6,RECIEVED,,,
106,c433f9d5-77e9-40b3-b11e-643733d81c60,2026-04-22 04:44:27.542661,"{0: 566, 1: 291, 2: 825, 3: 293, 4: 128, 5: 54}",2,RESTOCK,BOAR,20,RECIEVED,,,
107,33a544a9-9754-4ebb-b6db-63b82a259fb1,2026-04-22 04:44:27.544706,"{0: 567, 1: 291, 2: 826, 3: 293, 4: 128, 5: 54}",2,BUY,BOAR,2,RECIEVED,,,
108,1d4cc990-91c8-4a9d-8467-3c506a885da4,2026-04-22 04:44:27.547801,"{0: 569, 1: 292, 2: 827, 3: 294, 4: 130, 5: 54}",2,BUY,SALT,1,RECIEVED,,,
109,32a6c193-dfd2-42d8-9a56-62490ff2d45f,2026-04-22 04:44:27.549293,"{0: 569, 1: 293, 2: 829, 3: 294, 4: 132, 5: 54}",1,RESTOCK,SALT,20,RECIEVED,,,
